VisitId,Sequence,PersonId,PersonType,LocationId,LocationLevel,StartTime,EndTime
1,1,69,0,65,7,2020-06-22T10:18:14,2020-06-22T18:54:10
2,2,292,0,6,7,2020-06-15T21:15:28,2020-06-16T04:26:13
3,3,186,0,40,7,2020-06-15T03:32:06,2020-06-15T17:16:59
4,4,117,1,37,7,2020-06-29T06:07:25,2020-06-29T07:21:06
5,5,289,0,93,7,2020-06-20T15:43:54,2020-06-20T19:23:45
6,6,169,0,32,7,2020-06-19T05:13:33,2020-06-20T03:33:28
7,7,190,0,68,7,2020-06-12T00:12:55,2020-06-12T02:31:42
8,8,272,0,43,7,2020-06-13T13:53:16,2020-06-13T19:24:12
9,9,458,0,37,7,2020-06-22T08:58:09,2020-06-23T02:42:20
10,10,80,0,3,7,2020-06-13T06:16:14,2020-06-14T05:24:51
11,11,355,1,27,7,2020-06-29T18:32:08,2020-06-29T20:16:58
12,12,220,0,62,7,2020-07-03T17:37:30,2020-07-03T18:43:35
13,13,257,0,4,7,2020-06-14T16:25:28,2020-06-15T08:28:21
14,14,61,1,83,7,2020-07-05T19:49:04,2020-07-06T16:59:55
15,15,195,1,99,7,2020-06-21T14:04:32,2020-06-21T21:56:04
16,16,249,0,2,7,2020-07-06T13:46:34,2020-07-06T15:56:01
17,17,270,0,5,7,2020-06-15T10:29:12,2020-06-16T06:12:03
18,18,177,1,44,7,2020-06-22T04:32:42,2020-06-23T00:21:04
19,19,132,0,51,7,2020-06-21T16:34:48,2020-06-22T10:12:14
20,20,267,0,19,7,2020-06-23T19:45:15,2020-06-24T00:45:40
21,21,414,0,83,7,2020-06-17T05:32:10,2020-06-17T21:35:22
22,22,495,1,101,7,2020-07-07T07:28:19,2020-07-08T01:58:44
23,23,371,0,23,7,2020-07-03T20:54:41,2020-07-03T23:37:17
24,24,3,1,78,7,2020-06-13T07:35:16,2020-06-14T03:40:04
25,25,136,1,14,7,2020-06-27T01:26:52,2020-06-27T10:52:05
26,26,262,0,54,7,2020-07-01T20:47:00,2020-07-02T20:45:07
27,27,80,0,8,7,2020-07-05T11:02:43,2020-07-05T15:47:15
28,28,14,0,19,7,2020-06-21T13:28:09,2020-06-21T20:01:57
29,29,20,0,21,7,2020-06-11T03:13:31,2020-06-11T18:52:13
30,30,194,1,25,7,2020-06-14T02:18:32,2020-06-14T09:31:29
31,31,409,0,23,7,2020-06-22T15:18:04,2020-06-22T21:55:41
32,32,141,1,44,7,2020-07-01T00:31:10,2020-07-01T22:09:55
33,33,486,0,57,7,2020-07-02T22:56:46,2020-07-03T01:59:35
34,34,373,1,76,7,2020-06-28T04:18:10,2020-06-28T04:32:51
35,35,452,0,54,7,2020-06-24T16:23:44,2020-06-24T16:24:40
36,36,413,1,48,7,2020-06-23T03:40:18,2020-06-23T06:53:46
37,37,472,1,52,7,2020-06-29T05:27:28,2020-06-29T22:07:06
38,38,51,0,60,7,2020-06-10T15:37:03,2020-06-10T19:00:32
39,39,282,1,93,7,2020-06-20T03:03:34,2020-06-20T19:34:45
40,40,364,0,30,7,2020-06-25T12:54:25,2020-06-26T08:33:28
41,41,440,1,99,7,2020-06-17T12:17:43,2020-06-17T17:59:31
42,42,368,1,50,7,2020-07-05T10:35:19,2020-07-06T06:51:53
43,43,135,0,64,7,2020-06-25T10:51:05,2020-06-25T14:24:43
44,44,265,1,34,7,2020-07-01T10:10:03,2020-07-02T08:42:56
45,45,159,1,97,7,2020-06-26T21:03:42,2020-06-27T12:28:37
46,46,13,1,84,7,2020-06-14T05:53:32,2020-06-15T04:23:41
47,47,275,0,84,7,2020-07-04T02:27:21,2020-07-04T19:12:45
48,48,396,0,96,7,2020-06-11T14:06:06,2020-06-12T07:03:20
49,49,71,1,83,7,2020-06-09T22:02:09,2020-06-10T09:31:12
50,50,171,1,97,7,2020-07-08T06:22:06,2020-07-08T17:43:43
51,51,402,0,85,7,2020-06-21T02:08:54,2020-06-21T15:40:43
52,52,142,0,80,7,2020-06-26T17:23:16,2020-06-27T06:22:50
53,53,77,1,81,7,2020-07-02T16:02:59,2020-07-02T21:35:43
54,54,289,0,75,7,2020-06-26T20:14:40,2020-06-27T00:52:55
55,55,347,0,63,7,2020-06-28T09:15:26,2020-06-28T16:23:41
56,56,13,1,67,7,2020-06-26T11:42:52,2020-06-26T12:42:48
57,57,325,0,21,7,2020-06-21T21:41:35,2020-06-22T14:48:10
58,58,184,1,32,7,2020-07-03T03:25:05,2020-07-03T08:38:06
59,59,30,0,76,7,2020-07-01T15:21:23,2020-07-01T19:56:58
60,60,495,1,64,7,2020-07-04T21:35:05,2020-07-05T15:03:23
61,61,30,0,12,7,2020-06-11T05:41:02,2020-06-11T16:44:01
62,62,334,1,21,7,2020-06-13T19:24:40,2020-06-14T07:53:22
63,63,433,0,7,7,2020-06-28T11:33:53,2020-06-29T09:33:38
64,64,103,1,58,7,2020-06-22T01:56:44,2020-06-22T08:23:48
65,65,2,0,9,7,2020-06-26T05:45:50,2020-06-26T17:37:25
66,66,356,0,2,7,2020-07-04T12:19:29,2020-07-05T01:55:47
67,67,491,0,1,7,2020-06-10T19:43:43,2020-06-11T14:15:11
68,68,461,0,39,7,2020-06-10T04:13:40,2020-06-11T02:06:01
69,69,407,0,90,7,2020-06-18T12:44:55,2020-06-19T08:14:45
70,70,153,0,81,7,2020-06-10T08:34:33,2020-06-11T08:18:59
71,71,476,1,101,7,2020-06-22T02:25:00,2020-06-23T02:18:58
72,72,385,0,19,7,2020-06-30T20:43:27,2020-06-30T21:52:53
73,73,355,0,21,7,2020-06-14T09:23:35,2020-06-14T18:24:44
74,74,17,0,35,7,2020-07-02T09:25:19,2020-07-02T16:56:05
75,75,30,0,25,7,2020-06-29T09:32:48,2020-06-29T22:55:54
76,76,31,0,100,7,2020-06-11T02:18:45,2020-06-11T07:04:50
77,77,143,0,15,7,2020-06-09T00:29:54,2020-06-09T03:52:42
78,78,114,0,25,7,2020-06-16T22:13:23,2020-06-17T12:01:01
79,79,44,0,6,7,2020-06-09T16:07:10,2020-06-10T09:32:24
80,80,470,1,87,7,2020-06-14T13:22:09,2020-06-14T18:01:48
81,81,470,0,81,7,2020-06-16T23:12:46,2020-06-17T20:51:48
82,82,243,0,39,7,2020-06-27T20:07:07,2020-06-27T22:45:21
83,83,89,0,14,7,2020-06-19T03:55:55,2020-06-19T15:40:53
84,84,340,0,86,7,2020-06-10T20:18:21,2020-06-10T20:50:24
85,85,85,0,99,7,2020-07-01T14:45:20,2020-07-01T22:19:19
86,86,66,1,10,7,2020-06-24T21:14:41,2020-06-25T19:25:28
87,87,67,1,26,7,2020-06-14T04:16:57,2020-06-14T18:43:21
88,88,108,1,20,7,2020-07-08T14:29:44,2020-07-09T04:58:26
89,89,206,1,14,7,2020-06-29T20:48:41,2020-06-30T08:31:44
90,90,94,1,98,7,2020-06-30T19:50:10,2020-07-01T15:42:33
91,91,131,0,56,7,2020-06-21T00:35:41,2020-06-21T15:02:59
92,92,494,0,40,7,2020-06-13T14:26:34,2020-06-14T08:32:14
93,93,118,0,86,7,2020-06-24T07:37:10,2020-06-25T06:27:09
94,94,210,0,19,7,2020-06-20T06:30:55,2020-06-21T05:16:01
95,95,313,0,69,7,2020-06-27T21:31:10,2020-06-28T13:58:52
96,96,95,1,68,7,2020-06-22T07:53:00,2020-06-23T01:14:55
97,97,126,0,13,7,2020-06-18T06:18:09,2020-06-18T21:49:14
98,98,245,0,43,7,2020-06-18T07:46:40,2020-06-18T15:18:29
99,99,84,1,44,7,2020-07-01T20:28:59,2020-07-02T12:49:34
100,100,449,0,56,7,2020-07-07T18:05:45,2020-07-08T17:36:22
101,101,30,0,59,7,2020-06-13T21:15:36,2020-06-14T16:42:10
102,102,261,1,81,7,2020-06-12T11:09:26,2020-06-13T10:18:28
103,103,368,0,84,7,2020-07-06T20:47:29,2020-07-07T14:11:07
104,104,415,1,79,7,2020-07-07T18:01:35,2020-07-08T02:48:45
105,105,450,0,90,7,2020-06-16T19:27:42,2020-06-17T01:51:21
106,106,109,1,2,7,2020-06-25T14:44:40,2020-06-26T00:44:36
107,107,208,1,89,7,2020-07-06T02:18:27,2020-07-06T12:45:47
108,108,97,1,64,7,2020-06-11T02:56:04,2020-06-11T11:34:05
109,109,225,1,81,7,2020-06-30T00:15:56,2020-06-30T16:59:45
110,110,100,0,77,7,2020-07-04T23:42:52,2020-07-05T09:03:02
111,111,6,0,55,7,2020-07-01T04:21:13,2020-07-01T16:38:00
112,112,340,0,59,7,2020-06-13T07:04:56,2020-06-14T04:53:14
113,113,203,1,85,7,2020-06-10T17:53:53,2020-06-11T15:35:28
114,114,215,1,42,7,2020-06-23T04:13:05,2020-06-23T13:47:45
115,115,338,0,54,7,2020-06-12T07:54:21,2020-06-13T01:04:04
116,116,334,0,40,7,2020-07-03T12:35:41,2020-07-03T18:38:19
117,117,2,1,82,7,2020-06-09T19:00:29,2020-06-10T17:41:02
118,118,208,0,79,7,2020-06-10T20:27:01,2020-06-11T01:20:40
119,119,454,1,35,7,2020-06-17T10:16:46,2020-06-17T13:43:01
120,120,314,0,49,7,2020-07-06T20:56:25,2020-07-07T01:33:47
121,121,346,1,63,7,2020-06-13T17:44:06,2020-06-14T00:40:32
122,122,185,0,85,7,2020-07-02T15:55:56,2020-07-02T18:07:14
123,123,88,0,33,7,2020-07-05T05:25:01,2020-07-05T18:05:47
124,124,9,1,63,7,2020-06-21T07:34:30,2020-06-21T20:03:41
125,125,259,0,13,7,2020-06-10T12:30:03,2020-06-11T07:55:41
126,126,327,0,63,7,2020-06-15T02:59:32,2020-06-15T19:49:48
127,127,197,0,70,7,2020-06-28T20:31:41,2020-06-28T22:00:28
128,128,101,1,48,7,2020-06-11T02:07:36,2020-06-11T18:05:53
129,129,297,1,20,7,2020-07-04T16:15:37,2020-07-05T04:27:49
130,130,335,0,36,7,2020-06-22T19:08:43,2020-06-23T04:50:13
131,131,187,0,7,7,2020-06-14T15:14:09,2020-06-15T12:41:44
132,132,281,1,24,7,2020-07-05T18:04:50,2020-07-05T23:06:36
133,133,108,0,22,7,2020-07-05T01:12:51,2020-07-05T09:57:11
134,134,389,1,21,7,2020-06-13T15:32:25,2020-06-13T21:09:35
135,135,64,1,58,7,2020-06-27T02:31:39,2020-06-27T03:12:36
136,136,260,0,39,7,2020-06-22T13:16:01,2020-06-23T02:51:21
137,137,407,1,58,7,2020-06-26T18:01:22,2020-06-27T07:37:27
138,138,489,0,66,7,2020-06-10T04:50:16,2020-06-10T06:21:57
139,139,299,0,54,7,2020-06-17T17:42:49,2020-06-18T12:37:21
140,140,34,1,75,7,2020-06-18T07:31:59,2020-06-18T07:41:40
141,141,485,1,10,7,2020-06-21T06:19:01,2020-06-21T23:37:14
142,142,415,0,55,7,2020-06-09T01:51:34,2020-06-10T00:56:00
143,143,5,0,35,7,2020-07-08T14:14:09,2020-07-09T00:24:31
144,144,195,1,73,7,2020-06-29T12:49:19,2020-06-29T17:48:57
145,145,27,0,31,7,2020-06-15T11:50:23,2020-06-15T18:47:10
146,146,278,0,37,7,2020-07-04T12:03:07,2020-07-05T04:26:47
147,147,249,1,100,7,2020-06-13T11:34:34,2020-06-14T04:29:04
148,148,123,1,77,7,2020-07-03T07:27:48,2020-07-03T23:30:36
149,149,9,0,82,7,2020-06-22T09:49:01,2020-06-23T01:45:13
150,150,166,1,11,7,2020-06-15T16:16:10,2020-06-16T12:17:07
151,151,46,1,73,7,2020-06-22T20:39:23,2020-06-23T09:03:34
152,152,74,1,13,7,2020-06-28T10:49:06,2020-06-29T02:35:35
153,153,481,0,54,7,2020-07-02T16:11:00,2020-07-03T10:39:04
154,154,262,1,55,7,2020-06-21T05:35:33,2020-06-21T18:16:38
155,155,241,0,32,7,2020-06-28T18:01:33,2020-06-29T08:38:04
156,156,355,1,70,7,2020-06-23T10:30:30,2020-06-24T06:39:50
157,157,420,1,8,7,2020-07-06T08:03:43,2020-07-06T08:39:07
158,158,4,1,11,7,2020-06-30T12:51:37,2020-06-30T20:03:31
159,159,67,1,37,7,2020-06-11T11:46:17,2020-06-12T02:09:01
160,160,127,0,67,7,2020-06-16T22:17:26,2020-06-17T06:54:32
161,161,346,0,33,7,2020-07-08T04:25:01,2020-07-09T00:01:16
162,162,407,0,4,7,2020-07-01T08:18:21,2020-07-01T22:42:37
163,163,269,0,17,7,2020-06-17T23:29:53,2020-06-18T06:27:37
164,164,229,0,100,7,2020-06-19T02:13:48,2020-06-20T00:43:16
165,165,89,1,51,7,2020-06-30T21:04:42,2020-07-01T06:14:07
166,166,495,0,67,7,2020-07-04T03:08:32,2020-07-04T14:30:29
167,167,167,0,56,7,2020-07-08T09:51:43,2020-07-08T12:58:34
168,168,368,1,31,7,2020-07-05T10:09:21,2020-07-05T22:26:41
169,169,93,1,52,7,2020-06-30T07:21:05,2020-06-30T10:10:01
170,170,497,1,77,7,2020-06-28T09:09:33,2020-06-29T06:26:42
171,171,26,0,85,7,2020-07-03T04:02:29,2020-07-03T13:30:16
172,172,85,0,39,7,2020-06-13T14:28:23,2020-06-13T15:06:12
173,173,197,0,22,7,2020-06-11T22:12:36,2020-06-12T20:15:10
174,174,456,1,9,7,2020-06-15T10:21:20,2020-06-16T04:27:53
175,175,492,0,72,7,2020-06-25T16:11:18,2020-06-25T22:57:52
176,176,485,1,55,7,2020-06-12T15:14:12,2020-06-12T21:01:12
177,177,239,0,24,7,2020-06-19T00:35:00,2020-06-19T01:59:11
178,178,257,0,22,7,2020-07-07T14:20:05,2020-07-08T12:08:59
179,179,276,1,74,7,2020-06-12T12:17:07,2020-06-13T03:51:10
180,180,439,0,18,7,2020-06-17T16:59:03,2020-06-18T13:46:46
181,181,318,1,74,7,2020-06-15T22:31:38,2020-06-16T10:59:38
182,182,238,1,46,7,2020-06-30T22:39:27,2020-07-01T01:54:12
183,183,36,1,96,7,2020-06-20T00:59:37,2020-06-20T13:59:10
184,184,221,1,78,7,2020-06-19T05:09:14,2020-06-20T02:01:55
185,185,319,1,9,7,2020-06-12T06:05:36,2020-06-12T16:22:45
186,186,36,0,68,7,2020-06-09T14:33:41,2020-06-10T12:27:30
187,187,252,0,74,7,2020-06-26T01:58:23,2020-06-26T03:13:47
188,188,398,0,42,7,2020-06-20T22:00:26,2020-06-21T11:11:15
189,189,250,0,52,7,2020-06-19T22:28:41,2020-06-20T08:56:24
190,190,183,0,34,7,2020-07-08T09:24:07,2020-07-09T01:50:56
191,191,62,0,72,7,2020-07-05T22:48:06,2020-07-06T04:35:34
192,192,209,0,87,7,2020-06-23T11:48:19,2020-06-24T08:05:30
193,193,73,1,39,7,2020-06-18T03:33:59,2020-06-18T14:17:05
194,194,52,1,83,7,2020-06-30T07:54:05,2020-06-30T15:46:14
195,195,278,1,66,7,2020-06-10T07:01:12,2020-06-10T08:14:09
196,196,190,0,47,7,2020-06-26T14:34:38,2020-06-27T00:19:20
